"Gene","Frequencia_afetacoes","Percentual"
"LOC126806638",4,0.04
"LOC126806639",4,0.04
"LOC126806640",4,0.04
"LOC126806641",4,0.04
"LOC126806642",4,0.04
"LOC126806643",4,0.04
"LOC126806644",4,0.04
"LOC126806645",4,0.04
"LOC126806646",4,0.04
"LOC126806647",4,0.04
"LOC126806648",4,0.04
"LOC126806649",4,0.04
"LOC126806650",4,0.04
"LOC126806651",4,0.04
"LOC126806652",4,0.04
"LOC129389024",4,0.04
"LOC129389025",4,0.04
"LOC129389026",4,0.04
"LOC129389027",4,0.04
"LOC129389028",4,0.04
"LOC129389029",4,0.04
"LOC129389030",4,0.04
"LOC129389031",4,0.04
"LOC129389032",4,0.04
"LOC129389033",4,0.04
"LOC129389034",4,0.04
"LOC129389035",4,0.04
"LOC129389036",4,0.04
"LOC129389037",4,0.04
"LOC129389038",4,0.04
"LOC129389039",4,0.04
"LOC129389040",4,0.04
"LOC129389041",4,0.04
"LOC129389042",4,0.04
"LOC129389043",4,0.04
"LOC129389044",4,0.04
"LOC129389045",4,0.04
"LOC129389046",4,0.04
"LOC129389047",4,0.04
"LOC129389048",4,0.04
"LOC129389049",4,0.04
"LOC129389050",4,0.04
"LOC129389051",4,0.04
"LOC129389052",4,0.04
"LOC129389056",4,0.04
"LOC129389057",4,0.04
"LOC129389058",4,0.04
"LOC129936158",4,0.04
"LOC129936159",4,0.04
"LOC129936160",4,0.04
"LOC129936161",4,0.04
"LOC129936162",4,0.04
"LOC129936163",4,0.04
"LOC129936164",4,0.04
"LOC129936165",4,0.04
"LOC129936166",4,0.04
"LOC129936167",4,0.04
"LOC129936168",4,0.04
"LOC129936169",4,0.04
"LOC129936170",4,0.04
"LOC129936171",4,0.04
"LOC129936172",4,0.04
"LOC129936173",4,0.04
"LOC129936174",4,0.04
"LOC129936175",4,0.04
"LOC129936176",4,0.04
"LOC129936177",4,0.04
"LOC129936178",4,0.04
"LOC129936179",4,0.04
"LOC129936180",4,0.04
"LOC129936181",4,0.04
"LOC129936182",4,0.04
"LOC129936183",4,0.04
"LOC129936184",4,0.04
"LOC129936185",4,0.04
"LOC129936186",4,0.04
"LOC129936187",4,0.04
"LOC129936188",4,0.04
"LOC129936189",4,0.04
"LOC129936190",4,0.04
"LOC129936191",4,0.04
"LOC129936192",4,0.04
"LOC129936193",4,0.04
"LOC129936194",4,0.04
"LOC129936195",4,0.04
"LOC129936196",4,0.04
"LOC129936197",4,0.04
"LOC129936198",4,0.04
"LOC129936199",4,0.04
"LOC129936200",4,0.04
"LOC129936201",4,0.04
"LOC129936202",4,0.04
"LOC129936203",4,0.04
"LOC129936204",4,0.04
